Service Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Medartis Kwire Olive 85mm A5045461,UHHS UHC,62701,UHC OR Mather,Tech,285.00
Medartis Kwire Olive 90mm A5045471,UHHS UHC,62702,UHC OR Mather,Tech,285.00
Medartis Kwire Trocar 100 mm A5040x01,UHHS UHC,62691,UHC OR Mather,Tech,93.00
Medartis Kwire Trocar 150 mm A5040411,UHHS UHC,62720,UHC OR Mather,Tech,93.00
Medartis Kwire Trocar 2 End 100 mm A5043x01,UHHS UHC,62694,UHC OR Mather,Tech,111.00
Medartis Plate MTP Fusion DD R/L A46801x,UHHS UHC,62714,UHC OR Mather,Tech,"5,365.00"
Medartis Plate MTP Fusion Trilock DD R/L A48601x,UHHS UHC,62712,UHC OR Mather,Tech,"5,116.00"
Medartis Plate TMT Trilock Medial R/L A48603x,UHHS UHC,62713,UHC OR Mather,Tech,"5,116.00"
Medartis Plate TMT1 Trilock Plantar R/L A48603x,UHHS UHC,62711,UHC OR Mather,Tech,"4,784.00"
Medartis Screw Cann Comp A3937,UHHS UHC,62707,UHC OR Mather,Tech,871.00
Medartis Screw Cann Comp A3938,UHHS UHC,62708,UHC OR Mather,Tech,896.00
Medartis Screw Cann Comp Long A5781xx1,UHHS UHC,62833,UHC OR Mather,Tech,"1,106.00"
Medartis Screw Cann Comp Long A5881xx1,UHHS UHC,62835,UHC OR Mather,Tech,"1,106.00"
Medartis Screw Cann Comp Short A5780xx1,UHHS UHC,62832,UHC OR Mather,Tech,"1,106.00"
Medartis Screw Cann Comp Short A5880xx1,UHHS UHC,62834,UHC OR Mather,Tech,"1,106.00"
Medartis Screw Cortical Hexadrive 7 A5800xx1,UHHS UHC,62829,UHC OR Mather,Tech,257.00
Medartis Screw Transfixation Hexadrive 7 A5936xx1,UHHS UHC,62830,UHC OR Mather,Tech,331.00
Medartis Screw Trilock Hexadrive 7 A5850xx1,UHHS UHC,62831,UHC OR Mather,Tech,416.00
Medartis Screwdriver Blade A2013,UHHS UHC,62704,UHC OR Mather,Tech,524.00
Medartis Twist Drill Aptus A383x,UHHS UHC,62703,UHC OR Mather,Tech,357.00
Medartis Twist Drill Cann 1.8 A373x,UHHS UHC,62709,UHC OR Mather,Tech,"1,239.00"
Medartis Twist Drill Cann 2.1 A383x,UHHS UHC,62710,UHC OR Mather,Tech,"1,239.00"
Medartis Washer Biconcave A4750701,UHHS UHC,62695,UHC OR Mather,Tech,127.00
Meddev Eyelid gold 1.0gm LL3010,UHHS UHC,20205,UHC OR Mather,Tech,650.00
MedEl Bonebridge BCL Implant 601 62180,UHHS UHC,62989,UHC OR Mather,Tech,"18,000.00"
MedEl Bonebridge Minitek 51340,UHHS UHC,62994,UHC OR Mather,Tech,897.00
MedEl Bonebridge Samba Processor Lt 51559,UHHS UHC,62990,UHC OR Mather,Tech,"13,500.00"
MedEl Bonebridge Samba Processor Peds Lt 51559PED,UHHS UHC,62992,UHC OR Mather,Tech,"13,500.00"
MedEl Bonebridge Samba Processor Peds Rt 51560PED,UHHS UHC,62993,UHC OR Mather,Tech,"13,500.00"
MedEl Bonebridge Samba Processor Rt 51560,UHHS UHC,62991,UHC OR Mather,Tech,"13,500.00"
MedEl Cochlear Impl Synchrony Flex 24,UHHS UHC,42925,UHC OR Mather,Tech,"65,700.00"
MedEl Cochlear Impl Synchrony Flex 28,UHHS UHC,42929,UHC OR Mather,Tech,"65,700.00"
MedEl Processor 1 Sonnet  US3100,UHHS UHC,42923,UHC OR Mather,Tech,"28,800.00"
MedEl Processor 2 Sonnet US3200,UHHS UHC,42924,UHC OR Mather,Tech,"36,300.00"
MedEl Processor Sonnet/Rondo US3191,UHHS UHC,42926,UHC OR Mather,Tech,"36,300.00"
Medela Thopaz Cannister 0790016,UHHS UHC,41694,UHC OR Mather,Tech,112.00
Medela Thopaz Tubing 0790021,UHHS UHC,41695,UHC OR Mather,Tech,112.00
Medline Pouch double hip DYNJP8201,UHHS UHC,20251,UHC OR Mather,Tech,93.00
Medovations Tip Endolumina,UHHS UHC,21579,UHC OR Mather,Tech,335.00
Medron Nerve Stimulator 8225401,UHHS UHC,39184,UHC OR Mather,Tech,411.00
Medronic PEEK Cage 6D 29688xx,UHHS UHC,57031,UHC OR Mather,Tech,"11,610.00"
Medtrnc iliac limb straight stent graft,UHHS UHC,17439,UHC OR Mather,Tech,"10,043.00"
Medtrnc iliac limb straight stent graft 13.5cm,UHHS UHC,17440,UHC OR Mather,Tech,"10,342.00"
Medtron ablation device LP 60841,UHHS UHC,16491,UHC OR Mather,Tech,"6,864.00"
Medtron ablation pen XL 60814,UHHS UHC,16490,UHC OR Mather,Tech,"2,373.00"
Medtron Accessory Kit 335025,UHHS UHC,32371,UHC OR Mather,Tech,271.00
Medtron Accessory Kit 355531,UHHS UHC,34624,UHC OR Mather,Tech,600.00
Medtron Accessory Kit 85909,UHHS UHC,37391,UHC OR Mather,Tech,285.00
Medtron Acorn Tool 9AC50,UHHS UHC,32375,UHC OR Mather,Tech,240.00
Medtron anchor 355039,UHHS UHC,16262,UHC OR Mather,Tech,451.00
Medtron Anchor Injex 9779x,UHHS UHC,38390,UHC OR Mather,Tech,525.00
Medtron Ancore Duran Band 620BG,UHHS UHC,33303,UHC OR Mather,Tech,"3,666.00"
Medtron annuloplasty ring CG future 638RL,UHHS UHC,16339,UHC OR Mather,Tech,"6,270.00"
Medtron antenna 37092SFR,UHHS UHC,16260,UHC OR Mather,Tech,240.00
Medtron Aqua Mantys 233011,UHHS UHC,35527,UHC OR Mather,Tech,"1,839.00"
Medtron Biopump Carmeda CBBPX80,UHHS UHC,38335,UHC OR Mather,Tech,570.00
Medtron Blade 1882040,UHHS UHC,40265,UHC OR Mather,Tech,689.00
Medtron Blade Fusion 1884380EM,UHHS UHC,41765,UHC OR Mather,Tech,965.00
Medtron Blade Laryng 1882923HRE,UHHS UHC,31003,UHC OR Mather,Tech,"1,433.00"
Medtron Blade Laryng 1884023,UHHS UHC,31000,UHC OR Mather,Tech,"1,443.00"
Medtron Blade Laryng 1884030HRE,UHHS UHC,31002,UHC OR Mather,Tech,"1,340.00"
Medtron Blade Microdebrider 2.0 1882916,UHHS UHC,39314,UHC OR Mather,Tech,808.00
Medtron Blade Microdebrider 4.0 1884016,UHHS UHC,39315,UHC OR Mather,Tech,621.00
Medtron Blade Quadcut 1883480EM,UHHS UHC,41764,UHC OR Mather,Tech,"1,074.00"
Medtron Blade Radenoid 1884008,UHHS UHC,30989,UHC OR Mather,Tech,352.00
Medtron Blade Radenoid 1884507,UHHS UHC,30988,UHC OR Mather,Tech,426.00
Medtron Blade Rohs 413555,UHHS UHC,42583,UHC OR Mather,Tech,947.00
Medtron Blade Rotate 1882040HR,UHHS UHC,34018,UHC OR Mather,Tech,649.00
Medtron Blade Rotate 1883519HR,UHHS UHC,34019,UHC OR Mather,Tech,910.00
Medtron Blade Rotate 1884002HRE,UHHS UHC,34020,UHC OR Mather,Tech,533.00
Medtron Blade Rotate 1884004HR,UHHS UHC,34021,UHC OR Mather,Tech,583.00
Medtron Blade Rotate 1884006HR,UHHS UHC,34022,UHC OR Mather,Tech,528.00
Medtron Blade Rotate 1884016HR,UHHS UHC,34023,UHC OR Mather,Tech,539.00
Medtron Blade Sinus 1883502,UHHS UHC,30993,UHC OR Mather,Tech,519.00
Medtron Blade Sinus 1883504,UHHS UHC,30990,UHC OR Mather,Tech,443.00
Medtron Blade Sinus 1883507,UHHS UHC,30995,UHC OR Mather,Tech,654.00
Medtron Blade Sinus 1884002,UHHS UHC,30991,UHC OR Mather,Tech,508.00
Medtron Blade Sinus 1884004/6,UHHS UHC,30992,UHC OR Mather,Tech,525.00
Medtron Blade Subglott 1883524,UHHS UHC,30999,UHC OR Mather,Tech,961.00
Medtron Blade Subglott 1884024,UHHS UHC,31001,UHC OR Mather,Tech,961.00
Medtron Blade Subglott 1884031,UHHS UHC,30998,UHC OR Mather,Tech,"1,351.00"
Medtron Bone Allograft Bmp 7510800,UHHS UHC,21545,UHC OR Mather,Tech,"16,224.00"
Medtron Bone Mill BM210,UHHS UHC,18205,UHC OR Mather,Tech,837.00
Medtron Bryan Cervical Disc 16mm,UHHS UHC,39842,UHC OR Mather,Tech,"14,160.00"
Medtron Bryan Cutter 16mm 6474526,UHHS UHC,39841,UHC OR Mather,Tech,"1,485.00"
Medtron Burr 2mm 22DxST,UHHS UHC,32370,UHC OR Mather,Tech,223.00
Medtron Burr 4mm 1883672HS,UHHS UHC,38792,UHC OR Mather,Tech,927.00
Medtron Burr 70d 1884070RTx,UHHS UHC,41149,UHC OR Mather,Tech,"1,176.00"
Medtron Burr Midas 10BA40,UHHS UHC,34460,UHC OR Mather,Tech,272.00
Medtron Burr Midas 10MH30MN,UHHS UHC,36451,UHC OR Mather,Tech,251.00
Medtron Burr Midas 14ACx0,UHHS UHC,34455,UHC OR Mather,Tech,326.00
Medtron Burr Midas 14BA30/40,UHHS UHC,34468,UHC OR Mather,Tech,342.00
Medtron Burr Midas 14BA30D,UHHS UHC,34470,UHC OR Mather,Tech,341.00
Medtron Burr Midas 14BA50,UHHS UHC,34469,UHC OR Mather,Tech,350.00
Medtron Burr Midas 14CYx0,UHHS UHC,34461,UHC OR Mather,Tech,272.00
Medtron Burr Midas 14MH30,UHHS UHC,34459,UHC OR Mather,Tech,269.00
Medtron Burr Midas 14TA30,UHHS UHC,34467,UHC OR Mather,Tech,339.00
Medtron Burr Midas 21ACxx,UHHS UHC,34464,UHC OR Mather,Tech,276.00
Medtron Burr Midas 21BA60,UHHS UHC,34475,UHC OR Mather,Tech,327.00
Medtron Burr Midas 21CY90,UHHS UHC,34463,UHC OR Mather,Tech,274.00
Medtron Burr Midas 21MH30,UHHS UHC,34465,UHC OR Mather,Tech,310.00
Medtron Burr Midas 21TA30,UHHS UHC,34471,UHC OR Mather,Tech,302.00
Medtron Burr Midas 26CY75,UHHS UHC,34466,UHC OR Mather,Tech,285.00
Medtron Burr Midas 7BA06D MN,UHHS UHC,34456,UHC OR Mather,Tech,266.00
Medtron Burr Midas 7BAxx,UHHS UHC,34449,UHC OR Mather,Tech,288.00
Medtron Burr Midas 7BAxxD,UHHS UHC,34457,UHC OR Mather,Tech,276.00
Medtron Burr Midas 8TA11,UHHS UHC,34446,UHC OR Mather,Tech,197.00
Medtron Burr Midas 9ACx0,UHHS UHC,34454,UHC OR Mather,Tech,272.00
Medtron Burr Midas 9BAx0,UHHS UHC,34462,UHC OR Mather,Tech,283.00
Medtron Burr Midas 9BAxxD,UHHS UHC,34473,UHC OR Mather,Tech,366.00
Medtron Burr Midas 9HM126,UHHS UHC,34476,UHC OR Mather,Tech,337.00
Medtron Burr Midas 9HSxxx,UHHS UHC,34477,UHC OR Mather,Tech,450.00
Medtron Burr Midas 9MH30,UHHS UHC,34458,UHC OR Mather,Tech,326.00
Medtron Burr Midas F1/8TA15,UHHS UHC,34447,UHC OR Mather,Tech,216.00
Medtron Burr Midas F2/8TA23,UHHS UHC,34448,UHC OR Mather,Tech,216.00
Medtron Burr Midas F3/9TA30,UHHS UHC,34452,UHC OR Mather,Tech,276.00
Medtron Burr Midas MC254,UHHS UHC,34474,UHC OR Mather,Tech,375.00
Medtron Burr Midas MC30,UHHS UHC,34478,UHC OR Mather,Tech,454.00
Medtron Burr Midas10BA30,UHHS UHC,34451,UHC OR Mather,Tech,260.00
Medtron Burr Midas10BA50,UHHS UHC,34453,UHC OR Mather,Tech,261.00
Medtron Burr Midas14BA50D,UHHS UHC,34472,UHC OR Mather,Tech,308.00
Medtron Burr Midas9CYx0,UHHS UHC,34450,UHC OR Mather,Tech,283.00
Medtron Burr OtoFlex G/W 3155643,UHHS UHC,40989,UHC OR Mather,Tech,633.00
Medtron Burr OtoFlex GR 3155637,UHHS UHC,40988,UHC OR Mather,Tech,615.00
Medtron Burr Sinus 1883070HS,UHHS UHC,30996,UHC OR Mather,Tech,776.00
Medtron Burr Sinus 1883670HS,UHHS UHC,30997,UHC OR Mather,Tech,889.00
Medtron Burr Tardy 1883260,UHHS UHC,52351,UHC OR Mather,Tech,635.00
Medtron cable electrode FC1020,UHHS UHC,23011,UHC OR Mather,Tech,270.00
Medtron Cable Test 357501,UHHS UHC,38843,UHC OR Mather,Tech,120.00
Medtron Cable Twist Lock 357625,UHHS UHC,38844,UHC OR Mather,Tech,240.00
Medtron Cables Sterile F/Leads 5833SL,UHHS UHC,34236,UHC OR Mather,Tech,225.00
Medtron Cannula 14FR 96830114,UHHS UHC,39935,UHC OR Mather,Tech,855.00
Medtron Cannula 32/40 91263,UHHS UHC,21743,UHC OR Mather,Tech,76.00
Medtron Cannula 32F CB68132,UHHS UHC,37901,UHC OR Mather,Tech,211.00
Medtron Cannula Arterial EPOA 7822x,UHHS UHC,40038,UHC OR Mather,Tech,128.00
Medtron Cannula Arterial EPOA 7832x,UHHS UHC,39766,UHC OR Mather,Tech,128.00
Medtron Cannula Biomedicus CB98805102,UHHS UHC,31140,UHC OR Mather,Tech,"1,020.00"
Medtron Cannula Ostia 30320,UHHS UHC,37898,UHC OR Mather,Tech,126.00
Medtron Cannula Retrograde 94885K,UHHS UHC,37900,UHC OR Mather,Tech,235.00
Medtron Cannula Venous 2 Stage 91240,UHHS UHC,40039,UHC OR Mather,Tech,91.00
Medtron Cannula Venous 6813x,UHHS UHC,36635,UHC OR Mather,Tech,87.00
Medtron Cannula Venous 91246,UHHS UHC,37899,UHC OR Mather,Tech,91.00
Medtron Cannula Venous EOPA CB77718/20,UHHS UHC,41498,UHC OR Mather,Tech,317.00
Medtron Cannula Venous EOPA CB77722/24,UHHS UHC,41499,UHC OR Mather,Tech,316.00
Medtron Cardioplegia Transplant OX71R4,UHHS UHC,33547,UHC OR Mather,Tech,432.00
Medtron Carmeda Bioactive Surface Tubing,UHHS UHC,33546,UHC OR Mather,Tech,"1,851.00"
Medtron Catheter Admiral Inpact ADM0x00x013P,UHHS UHC,40986,UHC OR Mather,Tech,"3,750.00"
Medtron Catheter Admiral Inpact ADM0x012013P,UHHS UHC,40987,UHC OR Mather,Tech,"4,200.00"
Medtron Catheter Ares Peritoneal 93092,UHHS UHC,40033,UHC OR Mather,Tech,"1,278.00"
Medtron Catheter Ascenda 8780,UHHS UHC,37587,UHC OR Mather,Tech,"2,970.00"
Medtron Catheter Ascenda 8781,UHHS UHC,40032,UHC OR Mather,Tech,"2,970.00"
Medtron Catheter Balloon Stent Graft,UHHS UHC,17460,UHC OR Mather,Tech,"1,214.00"
Medtron Catheter Ventricular Ares 91101,UHHS UHC,40985,UHC OR Mather,Tech,"1,278.00"
Medtron charger 37752,UHHS UHC,13899,UHC OR Mather,Tech,"6,809.00"
Medtron Charger 37754,UHHS UHC,34941,UHC OR Mather,Tech,"5,846.00"
Medtron Clearview Blower/Mister 22150,UHHS UHC,21563,UHC OR Mather,Tech,120.00
Medtron controller 7436,UHHS UHC,18452,UHC OR Mather,Tech,"1,837.00"
Medtron CoreV Delivery System DCSC418FR,UHHS UHC,38732,UHC OR Mather,Tech,"6,330.00"
Medtron CoreV Loading Syst CLS300018FR,UHHS UHC,38733,UHC OR Mather,Tech,"1,170.00"
Medtron Corevalve MCSP3xxAOA,UHHS UHC,38159,UHC OR Mather,Tech,"90,000.00"
Medtron CSF Valve 4232x,UHHS UHC,40263,UHC OR Mather,Tech,"2,752.00"
Medtron CSF Valve 4281x,UHHS UHC,40264,UHC OR Mather,Tech,"4,346.00"
Medtron CSF Valve 82314,UHHS UHC,40262,UHC OR Mather,Tech,"2,635.00"
Medtron Drill 6474176,UHHS UHC,39840,UHC OR Mather,Tech,578.00
Medtron Drill Bit 873005,UHHS UHC,39749,UHC OR Mather,Tech,"1,430.00"
Medtron EMG electrode 8227103,UHHS UHC,17558,UHC OR Mather,Tech,183.00
Medtron Endograft Endurant 2,UHHS UHC,38303,UHC OR Mather,Tech,"34,500.00"
Medtron Endograft Endurant 3+,UHHS UHC,38304,UHC OR Mather,Tech,"39,000.00"
Medtron Endograft Valiant 1,UHHS UHC,37567,UHC OR Mather,Tech,"45,000.00"
Medtron Endograft Valiant 2,UHHS UHC,37568,UHC OR Mather,Tech,"57,000.00"
Medtron Endograft Valiant 3,UHHS UHC,37569,UHC OR Mather,Tech,"78,000.00"
Medtron Endotrach Tube Laser 7060xxx,UHHS UHC,38842,UHC OR Mather,Tech,127.00
Medtron ENT Knife 2.9 1882940,UHHS UHC,40266,UHC OR Mather,Tech,628.00
Medtron Epidisc 1417100,UHHS UHC,41148,UHC OR Mather,Tech,260.00
Medtron EverFlex Periph Stent w/Deliv Guidewir EVD3508xx0080,UHHS UHC,61788,UHC OR Mather,Tech,"1,950.00"
Medtron EverFlex Self Expand Periph Stent EVD3506xxx120,UHHS UHC,56304,UHC OR Mather,Tech,"1,950.00"
Medtron foramen needle,UHHS UHC,16253,UHC OR Mather,Tech,420.00
Medtron generator 3023,UHHS UHC,16254,UHC OR Mather,Tech,"22,875.00"
Medtron generator 3058,UHHS UHC,16255,UHC OR Mather,Tech,"33,675.00"
Medtron Generator 3531,UHHS UHC,38841,UHC OR Mather,Tech,"1,200.00"
Medtron Generator 37601,UHHS UHC,31159,UHC OR Mather,Tech,"52,800.00"
Medtron Generator 37602/3,UHHS UHC,33886,UHC OR Mather,Tech,"26,385.00"
Medtron generator 37702,UHHS UHC,16305,UHC OR Mather,Tech,"41,214.00"
Medtron generator 37711,UHHS UHC,13894,UHC OR Mather,Tech,"30,000.00"
Medtron generator 37712,UHHS UHC,18453,UHC OR Mather,Tech,"49,714.00"
Medtron generator 37713,UHHS UHC,16265,UHC OR Mather,Tech,"37,713.00"
Medtron Generator 37714,UHHS UHC,33885,UHC OR Mather,Tech,"30,000.00"
Medtron generator 7427,UHHS UHC,13895,UHC OR Mather,Tech,823.00
Medtron generator 7428,UHHS UHC,18454,UHC OR Mather,Tech,"42,728.00"
Medtron Generator ADSR01,UHHS UHC,32368,UHC OR Mather,Tech,"7,497.00"
Medtron Generator SureScan 97702,UHHS UHC,38384,UHC OR Mather,Tech,"36,885.00"
Medtron Generator Surescan 97712,UHHS UHC,39185,UHC OR Mather,Tech,"39,000.00"
Medtron Generator SureScan 97714,UHHS UHC,38385,UHC OR Mather,Tech,"45,900.00"
Medtron Grommet Tube 1014243,UHHS UHC,38483,UHC OR Mather,Tech,"1,360.00"
Medtron Grommet Tube AB 1014243,UHHS UHC,39695,UHC OR Mather,Tech,76.00
Medtron ground pad,UHHS UHC,16252,UHC OR Mather,Tech,120.00
Medtron Guidewire 873004,UHHS UHC,39748,UHC OR Mather,Tech,293.00
Medtron Guidewire Archer ARCxJ260W,UHHS UHC,36525,UHC OR Mather,Tech,477.00
Medtron Heart Valve FR995xx,UHHS UHC,21698,UHC OR Mather,Tech,"14,985.00"
Medtron Interstim Extension,UHHS UHC,21794,UHC OR Mather,Tech,"2,955.00"
Medtron Intrathecal Cath Revision Kit 8596SC,UHHS UHC,32373,UHC OR Mather,Tech,"2,085.00"
Medtron Intrathecal Catheter 8709SC,UHHS UHC,32374,UHC OR Mather,Tech,"1,979.00"
Medtron introducer 355018,UHHS UHC,16258,UHC OR Mather,Tech,840.00
Medtron Kit Accessory 355002,UHHS UHC,36452,UHC OR Mather,Tech,180.00
Medtron kit accessory 355027,UHHS UHC,18455,UHC OR Mather,Tech,"1,050.00"
Medtron kit accessory 355028,UHHS UHC,18456,UHC OR Mather,Tech,166.00
Medtron kit accessory 355029,UHHS UHC,16263,UHC OR Mather,Tech,450.00
Medtron Kit Accessory 355031,UHHS UHC,21581,UHC OR Mather,Tech,600.00
Medtron Kit Accessory 8785,UHHS UHC,38979,UHC OR Mather,Tech,600.00
Medtron Kit Cannula Venous Percut 96880025,UHHS UHC,40035,UHC OR Mather,Tech,"1,080.00"
Medtron Kit Catheter Ares 95001,UHHS UHC,40034,UHC OR Mather,Tech,"2,244.00"
Medtron Kit Insertion 96553,UHHS UHC,39936,UHC OR Mather,Tech,228.00
Medtron Kit Revision Pump 8578,UHHS UHC,41563,UHC OR Mather,Tech,450.00
Medtron Kit Stimloc Spare Parts 3550S01,UHHS UHC,41564,UHC OR Mather,Tech,"1,350.00"
Medtron knife sickle sataloff MCLS33,UHHS UHC,16332,UHC OR Mather,Tech,305.00
Medtron Kypho Tray addl KPT2004,UHHS UHC,30620,UHC OR Mather,Tech,"8,565.00"
Medtron Kyphon Expander KPE1003,UHHS UHC,19360,UHC OR Mather,Tech,"12,954.00"
Medtron Kyphopak express KPE1001,UHHS UHC,17109,UHC OR Mather,Tech,"10,359.00"
Medtron Kyphoplasty Cement/Mixer,UHHS UHC,21599,UHC OR Mather,Tech,693.00
Medtron Kyphoplasty Syringe A08A,UHHS UHC,20220,UHC OR Mather,Tech,390.00
Medtron Lead 3389S40,UHHS UHC,30985,UHC OR Mather,Tech,"9,227.00"
Medtron lead 3776,UHHS UHC,16266,UHC OR Mather,Tech,"6,809.00"
Medtron lead 3777,UHHS UHC,13896,UHC OR Mather,Tech,"6,809.00"
Medtron lead 3778,UHHS UHC,18457,UHC OR Mather,Tech,"6,809.00"
Medtron lead 3873,UHHS UHC,18458,UHC OR Mather,Tech,"2,180.00"
Medtron Lead 387460,UHHS UHC,36454,UHC OR Mather,Tech,"2,100.00"
Medtron Lead 3888,UHHS UHC,13897,UHC OR Mather,Tech,"3,563.00"
Medtron lead 388928,UHHS UHC,16261,UHC OR Mather,Tech,"10,245.00"
Medtron Lead 3928665,UHHS UHC,33339,UHC OR Mather,Tech,"16,051.00"
Medtron lead 39565,UHHS UHC,18459,UHC OR Mather,Tech,"16,786.00"
Medtron Lead 3956565,UHHS UHC,34876,UHC OR Mather,Tech,"16,786.00"
Medtron Lead 3998,UHHS UHC,35364,UHC OR Mather,Tech,"6,895.00"
Medtron Lead 5034,UHHS UHC,32367,UHC OR Mather,Tech,"2,279.00"
Medtron lead capsure 496835,UHHS UHC,18460,UHC OR Mather,Tech,"1,698.00"
Medtron lead epicard 507135,UHHS UHC,18461,UHC OR Mather,Tech,"1,425.00"
Medtron Lead Epicardial Bi Temp 6495F,UHHS UHC,21731,UHC OR Mather,Tech,199.00
Medtron Lead Extension 3708140,UHHS UHC,21549,UHC OR Mather,Tech,"2,324.00"
Medtron Lead Extension 37081x0,UHHS UHC,39655,UHC OR Mather,Tech,"1,785.00"
Medtron Lead Extension 37082,UHHS UHC,31156,UHC OR Mather,Tech,"2,985.00"
Medtron Lead Extension 37083,UHHS UHC,31157,UHC OR Mather,Tech,"2,264.00"
Medtron Lead Extension 37086xx,UHHS UHC,31158,UHC OR Mather,Tech,"2,264.00"
Medtron lead extension 3708X,UHHS UHC,18462,UHC OR Mather,Tech,"4,119.00"
Medtron lead extension 7482,UHHS UHC,18463,UHC OR Mather,Tech,"1,837.00"
Medtron Lead Extension 7489,UHHS UHC,21403,UHC OR Mather,Tech,"31,527.00"
Medtron Lead SureScan 977Ax60,UHHS UHC,38388,UHC OR Mather,Tech,"5,835.00"
Medtron Lead Trial SureScan 977Dx60,UHHS UHC,38389,UHC OR Mather,Tech,"2,100.00"
Medtron Lead Vectris SCS 977A2xx,UHHS UHC,39657,UHC OR Mather,Tech,"5,835.00"
Medtron Ligasure LF 1644,UHHS UHC,39933,UHC OR Mather,Tech,"1,743.00"
Medtron Merogel Stent,UHHS UHC,30418,UHC OR Mather,Tech,251.00
Medtron NanoCross Elite OTW PTA Dilat Cath AB14W0200x0150,UHHS UHC,58595,UHC OR Mather,Tech,720.00
Medtron Ossicular Implant Partial 0380,UHHS UHC,34503,UHC OR Mather,Tech,491.00
Medtron Ossicular Implant Total 0500,UHHS UHC,34505,UHC OR Mather,Tech,"1,008.00"
Medtron Ossicular Implant Total 0510,UHHS UHC,34504,UHC OR Mather,Tech,"1,103.00"
Medtron Ossicular Implant Total 0530,UHHS UHC,34506,UHC OR Mather,Tech,"1,170.00"
Medtron pacemaker ADDR01ID,UHHS UHC,18206,UHC OR Mather,Tech,"9,747.00"
Medtron pacemaker ADDRL1,UHHS UHC,18208,UHC OR Mather,Tech,"9,747.00"
Medtron Packing Strip 1428005,UHHS UHC,21558,UHC OR Mather,Tech,108.00
Medtron Passer 859160,UHHS UHC,39656,UHC OR Mather,Tech,294.00
Medtron Patient Programmer 37642,UHHS UHC,31161,UHC OR Mather,Tech,"2,698.00"
Medtron Patient Programmer 37744,UHHS UHC,34940,UHC OR Mather,Tech,"2,998.00"
Medtron PE Tube 1010101,UHHS UHC,52540,UHC OR Mather,Tech,52.00
Medtron PE Tube 1013201,UHHS UHC,32369,UHC OR Mather,Tech,17.00
Medtron PE Tube 1013303,UHHS UHC,38482,UHC OR Mather,Tech,36.00
Medtron PE Tube 1025045,UHHS UHC,52536,UHC OR Mather,Tech,28.00
Medtron PE Tube 1026010,UHHS UHC,52538,UHC OR Mather,Tech,50.00
Medtron PE Tube 1026040,UHHS UHC,52537,UHC OR Mather,Tech,46.00
Medtron PE Tube 1027060,UHHS UHC,52539,UHC OR Mather,Tech,58.00
Medtron PE Tube 1028012,UHHS UHC,52535,UHC OR Mather,Tech,17.00
Medtron PE Tube 1128305,UHHS UHC,52541,UHC OR Mather,Tech,110.00
Medtron PE Tube Donaldson 1013020,UHHS UHC,38578,UHC OR Mather,Tech,18.00
Medtron PE Tube Goode Firm 1016035,UHHS UHC,38579,UHC OR Mather,Tech,38.00
Medtron PE Tube Goode Soft 1016010,UHHS UHC,38580,UHC OR Mather,Tech,98.00
Medtron PE Tube Moretz Tab TT 1056107,UHHS UHC,38583,UHC OR Mather,Tech,48.00
Medtron PE Tube Tiny Tytan 1056101,UHHS UHC,38582,UHC OR Mather,Tech,48.00
Medtron Plate 25mm 4200025,UHHS UHC,38584,UHC OR Mather,Tech,"2,100.00"
Medtron Plate Occipital 775527x,UHHS UHC,41997,UHC OR Mather,Tech,"7,800.00"
Medtron Pointer Long Axiem Nav 9735319,UHHS UHC,40858,UHC OR Mather,Tech,"1,485.00"
Medtron positioner urchin,UHHS UHC,18464,UHC OR Mather,Tech,"1,199.00"
Medtron Prass Probe,UHHS UHC,30419,UHC OR Mather,Tech,330.00
Medtron Probe Stimulator 8225101,UHHS UHC,35958,UHC OR Mather,Tech,311.00
Medtron Probe TI 8225825,UHHS UHC,39693,UHC OR Mather,Tech,576.00
Medtron programmer 3031,UHHS UHC,16256,UHC OR Mather,Tech,"2,971.00"
Medtron programmer 3037,UHHS UHC,16257,UHC OR Mather,Tech,"3,568.00"
Medtron programmer 37742,UHHS UHC,13898,UHC OR Mather,Tech,"3,978.00"
Medtron programmer 37743,UHHS UHC,18465,UHC OR Mather,Tech,"3,391.00"
Medtron Programmer SureScan 97740,UHHS UHC,38386,UHC OR Mather,Tech,"2,700.00"
Medtron PTA Balloon Catheter 6,UHHS UHC,39790,UHC OR Mather,Tech,255.00
Medtron PTA Balloon Catheter 9,UHHS UHC,39791,UHC OR Mather,Tech,255.00
Medtron pump synchromed 8627L18,UHHS UHC,16264,UHC OR Mather,Tech,"24,063.00"
Medtron Recharger SureScan 97754,UHHS UHC,38387,UHC OR Mather,Tech,"4,500.00"
Medtron Reservoir ventric 44210,UHHS UHC,36456,UHC OR Mather,Tech,476.00
Medtron Rod 5.5 Solera 15532010xx,UHHS UHC,41985,UHC OR Mather,Tech,600.00
Medtron Rod 5.5 Solera 15532011xx,UHHS UHC,41986,UHC OR Mather,Tech,600.00
Medtron Rod 6.0 Solera 1606000x00,UHHS UHC,41987,UHC OR Mather,Tech,"1,200.00"
Medtron Rod Pre CVD 3.5 775327x,UHHS UHC,41990,UHC OR Mather,Tech,600.00
Medtron Rod Prebent 5.5 86900xx,UHHS UHC,39981,UHC OR Mather,Tech,600.00
Medtron Rod Precut 3.5 77537xx,UHHS UHC,41988,UHC OR Mather,Tech,600.00
