Wayne HealthCare,,,,
835 Sweitzer Street,,,,
"Greenville, OH 45331",,,,
,,,,
Effective 01/01/2022,,,,
,,,,
2022 STANDARD CHARGES,,,,
,,,,
"CHARGE
NUMBER",DESCRIPTION,"CPT/HCPC/
DRG CODE",2022,DEPARTMENT
6208726,NF-Nabumetone (RELAFEN) TAB    500MG,,$3.00 ,PHARMACY
6204690,NF-Nabumetone Oral Tablet 500MG,,$7.00 ,PHARMACY
6201029,NF-NADOLOL         TAB  20MG,,$7.00 ,PHARMACY
6206529,NF-Nadolol (CORGARD) TAB    10MG,,$4.00 ,PHARMACY
6201030,NF-Nadolol (CORGARD) TAB    20MG,,$8.00 ,PHARMACY
6201291,NF-Nadolol (CORGARD) TAB    40MG,,$17.00 ,PHARMACY
6204550,NF-NADOLOL 20MG ORAL TABLET,,$12.00 ,PHARMACY
6203351,NF-NADOLOL 40MG ORAL TABLET,,$12.00 ,PHARMACY
6206003,NF-Naltrexone (VIVITROL) INJ    380MG,,$3.00 ,PHARMACY
6203487,NF-NALTREXONE 50MG ORAL TABLET,,$15.00 ,PHARMACY
6204723,NF-NALTREXONE HCL ORAL TABLET 50MG,,$10.00 ,PHARMACY
6204669,NF-Naltrexone Oral Tablet 50MG,,$14.00 ,PHARMACY
6205265,NF-Naltrexone Oral Tablet 50MG,,$14.00 ,PHARMACY
6204717,NF-Namenda XR Cap 28MG,,$32.00 ,PHARMACY
6206285,NF-Namenda XR Oral Capsule ER 14MG,,$38.00 ,PHARMACY
6206286,NF-Namenda XR Oral Capsule ER 21MG,,$38.00 ,PHARMACY
6207875,NF-Namzaric Oral Cap ER 28MG-10MG,,$40.00 ,PHARMACY
6207876,NF-Namzaric Oral Cap ER 28MG-10MG,,$40.00 ,PHARMACY
6208084,NF-Namzaric Oral Cap ER 28MG-10MG,,$38.00 ,PHARMACY
6208384,NF-Namzaric Oral Cap ER 28MG-10MG,,$39.00 ,PHARMACY
6205037,"NF-Namzaric Oral Capsule, DR 14MG-10MG",,$35.00 ,PHARMACY
6205582,"NF-Namzaric Oral Capsule, DR 28MG-10MG",,$35.00 ,PHARMACY
6207017,"NF-Namzaric Oral Capsule, ER 7MG-10MG",,$38.00 ,PHARMACY
6204500,"NF-NAPRELAN 375MG ORAL TABLET, EXTENDED",,$28.00 ,PHARMACY
6206436,NF-Naprosyn Oral Tablet 500MG,,$17.00 ,PHARMACY
6205873,NF-NAPROSYN TAB 500MG,,$19.00 ,PHARMACY
6204248,NF-NAPROXEN 500MG ORAL TABLET,,$10.00 ,PHARMACY
6204253,NF-NAPROXEN 500MG ORAL TABLET,,$9.00 ,PHARMACY
6204388,NF-NAPROXEN 500MG ORAL TABLET,,$9.00 ,PHARMACY
6202545,NF-NAPROXEN D/R ORAL TABLET 500MG,,$10.00 ,PHARMACY
6203042,NF-NAPROXEN EC ORAL TAB EC 375MG,,$8.00 ,PHARMACY
6208690,NF-Naproxen Oral Tablet 250MG,,$1.00 ,PHARMACY
6204925,NF-Naproxen Tablet 375MG,,$7.00 ,PHARMACY
6204419,NF-NATEGLINIDE 60MG ORAL TABLET,,$8.00 ,PHARMACY
6204716,NF-Natrum Muriaticum 2X (LICE FREE),,$54.00 ,PHARMACY
6206446,NF-NEBIVOLOL HYDROCHLORIDE TAB 5MG,,$12.00 ,PHARMACY
6209310,NF-Nedocromil (TILADE) Inhaler,,$184.00 ,PHARMACY
6204856,NF-Neomycin/Poly B/Dexameth 3.5-10000-1/,,$11.00 ,PHARMACY
6202200,NF-NEOMYCIN-POLYMYXIN B-PREDNISOLONE OPH,,$17.00 ,PHARMACY
6201553,NF-NEPHROCAPS CAPSULE,,$6.00 ,PHARMACY
6205933,NF-Nephrocaps Oral Liquid-Filled Capsule,,$16.00 ,PHARMACY
6208672,NF-Neupro TD Patch ER 2MG/24HR,,$56.00 ,PHARMACY
6204924,NF-Neurontin Tablet 600MG,,$11.00 ,PHARMACY
6204272,NF-NEXIUM 10MG/1PKT ORAL PACKET,,$26.00 ,PHARMACY
6203946,"NF-NEXIUM 20MG ORAL CAPSULE, DELAYED REL",,$32.00 ,PHARMACY
6208071,NF-NexIUM 24HR Capsule Delayed Release 2,,$1.00 ,PHARMACY
6203063,"NF-NEXIUM 40MG ORAL CAPSULE, DELAYED REL",,$22.00 ,PHARMACY
6205101,NF-NEXIUM CAP DR 40MG,,$26.00 ,PHARMACY
6207755,NF-NexIUM Capsule 40MG,,$27.00 ,PHARMACY
6208070,NF-NexIUM Capsule 40MG,,$21.00 ,PHARMACY
6206589,NF-NexIUM Oral Packet 40MG/1Pkt,,$24.00 ,PHARMACY
6203734,NF-NIACIN ORAL EXTENDED RELEASE TAB 500M,,$6.00 ,PHARMACY
6206471,NF-Niacor Oral Tablet 500MG,,$10.00 ,PHARMACY
6204380,"NF-NIASPAN 1000MG ORAL TABLET, EXTENDED",,$23.00 ,PHARMACY
6201009,NF-NIASPAN EXTENDED-RELEASE TABLET 500MG,,$12.00 ,PHARMACY
6201144,NF-NIASPAN TAB ER 500MG,,$13.00 ,PHARMACY
6201588,NF-NIASPAN TABLET ER 500MG,,$12.00 ,PHARMACY
6203997,NF-NICOTINE POLACRILEX 2MG ORAL GUM,,$6.00 ,PHARMACY
6204913,NF-Nicotine TD Patch ER 21MG/24HR,,$8.00 ,PHARMACY
6206317,NF-Nifedical XL Tablet 60MG,,$8.00 ,PHARMACY
6203192,"NF-NIFEDIPINE 60MG ORAL TABLET, EXTENDED",,$10.00 ,PHARMACY
6206888,NF-Nitazoxanide (ALINIA) TAB    500MG,,$570.00 ,PHARMACY
6208642,NF-Nitro-Dur Transderm Patch ER 0.6MG/1H,,$14.00 ,PHARMACY
6202778,NF-NITROFURANTOIN MONO/MACRO ORAL CAP 10,,$10.00 ,PHARMACY
6203173,"NF-NITROGLYCERIN 2.5MG ORAL CAPSULE, EXT",,$6.00 ,PHARMACY
6202779,"NF-NITROGLYCERIN 9MG ORAL CAPSULE, EXTEN",,$7.00 ,PHARMACY
6201047,NF-NITROGLYCERIN CAP ER 2.5MG,,$6.00 ,PHARMACY
6204342,NF-NITROGLYCERIN CAP ER 2.5MG,,$7.00 ,PHARMACY
6205990,NF-Nitroglycerin Sublingual Tablet 0.4MG,,$6.00 ,PHARMACY
6202375,NF-NITROLINGUAL 0.4MG/ACTUATION SUBLINGU,,$38.00 ,PHARMACY
6202819,NF-NITROSTAT 0.4MG SUBLINGUAL TABLET,,$6.00 ,PHARMACY
6203274,NF-NORCO 325MG-5MG ORAL TABLET,,$10.00 ,PHARMACY
6204166,NF-NORCO 5MG-325MG ORAL TABLET,,$7.00 ,PHARMACY
6204627,NF-Norco Oral Tablet 325MG-10MG,,$12.00 ,PHARMACY
6207737,NF-Norco Oral Tablet 5MG-325MG,,$9.00 ,PHARMACY
6208135,NF-Norco Oral Tablet 5MG-325MG,,$8.00 ,PHARMACY
6208182,NF-Norco Oral Tablet 5MG-325MG,,$8.00 ,PHARMACY
6202270,NF-NORCO TAB 325MG-7.5MG,,$11.00 ,PHARMACY
6203201,NF-NORCO TAB 325MG-7.5MG,,$10.00 ,PHARMACY
6204678,NF-Norco Tablet,,$10.00 ,PHARMACY
6204922,NF-Norco Tablet,,$10.00 ,PHARMACY
6205387,NF-Norco Tablet,,$10.00 ,PHARMACY
6205634,NF-Norco Tablet,,$9.00 ,PHARMACY
6206952,NF-Norethindrone (AYGESTIN) TAB    5MG,,$6.00 ,PHARMACY
6203597,NF-NORGESTIMATE AND ETHINYL ESTRADIOL 35,,$8.00 ,PHARMACY
6208883,NF-Norgestimate-Eth Estradiol Oral Tab,,$2.00 ,PHARMACY
6204164,NF-NORTRIPTYLINE HCL 50MG ORAL CAPSULE,,$8.00 ,PHARMACY
6204165,NF-NORTRIPTYLINE HCL 50MG ORAL CAPSULE,,$34.00 ,PHARMACY
6202656,NF-NORTRIPTYLINE HCL CAP 10MG,,$6.00 ,PHARMACY
6204673,NF-Nortriptyline HCl Capsule 50MG,,$8.00 ,PHARMACY
6204674,NF-Nortriptyline HCl Capsule 50MG,,$8.00 ,PHARMACY
6206158,NF-Nortriptyline HCl Capsule 50MG,,$7.00 ,PHARMACY
6204977,NF-Nortriptyline Oral Tablet 25MG,,$7.00 ,PHARMACY
6202856,NF-NORVASC 10MG ORAL TABLET,,$14.00 ,PHARMACY
6203257,NF-NORVASC 10MG ORAL TABLET,,$15.00 ,PHARMACY
6204334,NF-NORVASC 10MG ORAL TABLET,,$14.00 ,PHARMACY
6204372,NF-NORVASC 10MG ORAL TABLET,,$12.00 ,PHARMACY
6205294,NF-Norvasc Oral Tablet 10MG,,$14.00 ,PHARMACY
6204663,NF-Norvasc Tablet 10MG,,$14.00 ,PHARMACY
6205114,NF-Norvasc Tablet 10MG,,$9.00 ,PHARMACY
6205132,NF-Norvasc Tablet 5MG,,$7.00 ,PHARMACY
6206321,NF-Norvir Capsule 100MG,,$32.00 ,PHARMACY
6203831,NF-NORVIR ORAL TABLET 100MG,,$35.00 ,PHARMACY
6208663,NF-Novaplus Haloperidol Decanoate 100MG/,,$98.00 ,PHARMACY
6208664,NF-Novaplus Haloperidol Decanoate 100MG/,,$98.00 ,PHARMACY
6205510,NF-NovoLIN 70/30 SubQ Susp 70U-30U/1ML,,$38.00 ,PHARMACY
6206036,NF-NovoLIN R Injection 100U/ML,,$40.00 ,PHARMACY
6203410,NF-NOVOLOG FLEXPEN 100U/ML SUBCUTANEOUS,,$48.00 ,PHARMACY
6205477,NF-NovoLOG Injection 100U/ML,,$69.00 ,PHARMACY
6207762,NF-NovoLOG Injection 100U/ML,,$74.00 ,PHARMACY
6203525,NF-NOVOLOG MIX 70/30 SUBQ SUSP 70U-30U/1,,$63.00 ,PHARMACY
6204568,NF-NUCYNTA 100MG ORAL TABLET,,$22.00 ,PHARMACY
6204653,NF-Nucynta Oral Tablet 100MG,,$19.00 ,PHARMACY
6207329,NF-Nuedexta Oral Capsule 20MG-10MG,,$46.00 ,PHARMACY
6208697,NF-Nuedexta Oral Capsule 20MG-10MG,,$50.00 ,PHARMACY
6207933,NF-Nuplazid Oral Capsule 34MG,,$267.00 ,PHARMACY
6208322,NF-Nuplazid Oral Capsule 34MG,,$271.00 ,PHARMACY
6208649,NF-Nuplazid Oral Capsule 34MG,,$291.00 ,PHARMACY
6206059,NF-Nuplazid Oral Tablet 17MG,,$101.00 ,PHARMACY
6202995,NF-NYSTATIN 100000U/GM TOPICAL APPLICATI,,$10.00 ,PHARMACY
6203238,NF-NYSTATIN ORAL SUSPENSION 100000U/1ML,,$6.00 ,PHARMACY
6205390,NF-Nystatin Powder,,"$3,310.00 ",PHARMACY
6206407,NF-Nystatin Powder,,"$60,675.00 ",PHARMACY
6206719,NF-Nystatin Powder,,"$3,035.00 ",PHARMACY
6206747,NF-Nystatin Powder,,"$3,035.00 ",PHARMACY
6207039,NF-Nystatin Powder,,$304.00 ,PHARMACY
6207042,NF-Nystatin Powder,,$304.00 ,PHARMACY
6208145,NF-Nystatin Powder,,"$11,868.00 ",PHARMACY
6208688,NF-Nystatin Powder,,$526.00 ,PHARMACY
6205237,NF-Nystatin/Triamcinolone Acet 100000U/1,,$9.00 ,PHARMACY
6207919,NF-Ocupress Ophth Solution 1%,,$15.00 ,PHARMACY
6203568,NF-OCUVITE ADULT 50+ LIQUID-FILLED CAPSU,,$6.00 ,PHARMACY
6205820,NF-Ofev Oral Capsule 100MG,,$401.00 ,PHARMACY
6208741,NF-Ofev Oral Capsule 150MG,,$444.00 ,PHARMACY
6205401,NF-OFLOXACIN OPHTH SOLN 0.3%,,$31.00 ,PHARMACY
6207493,NF-OLANZapine Oral Tablet 15MG,,$63.00 ,PHARMACY
6207495,NF-OLANZapine Oral Tablet 2.5MG,,$22.00 ,PHARMACY
6208108,NF-OLANZapine Oral Tablet 20MG,,$80.00 ,PHARMACY
6206925,NF-OLANZapine Oral Tablet 5MG,,$30.00 ,PHARMACY
6203449,NF-Olmesartan (BENICAR)  TAB  :  40MG,,$31.00 ,PHARMACY
6206273,NF-olmesartan medoxomil-hydroCHLOROthiaz,,$24.00 ,PHARMACY
6202372,NF-Olmesartan/HCTZ (BENICAR HCT) 20/25MG,,$16.00 ,PHARMACY
6203736,NF-OLYSIO 150MG ORAL CAPSULE,,"$2,368.00 ",PHARMACY
6202111,NF-OMEGA-3 KRILL OIL ORAL LIQUID CAPSULE,,$6.00 ,PHARMACY
6200759,NF-OMEGA-3-ACID ETHYL ESTERS LIQ CAP 1GM,,$9.00 ,PHARMACY
6204301,"NF-OMEPRAZOLE 40MG ORAL CAPSULE, DELAYED",,$20.00 ,PHARMACY
6205864,NF-OMEPRAZOLE CAP DR 10MG,,$11.00 ,PHARMACY
6205861,NF-OMEPRAZOLE CAP DR 20MG,,$20.00 ,PHARMACY
6205863,NF-OMEPRAZOLE CAP DR 20MG,,$15.00 ,PHARMACY
6205272,NF-Omeprazole Cap DR 40MG,,$19.00 ,PHARMACY
6205730,NF-OMEPRAZOLE CAPSULE DELAYED RELEASE 40,,$19.00 ,PHARMACY
6208710,NF-Omeprazole Capsule Delayed Release 40,,$14.00 ,PHARMACY
6205746,NF-OMEPRAZOLE CAPSULE DR 20MG,,$12.00 ,PHARMACY
6205412,NF-Omeprazole Oral Tab DR 20MG,,$6.00 ,PHARMACY
6207879,NF-Omeprazole Oral Tablet DR 20MG,,$2.00 ,PHARMACY
6206552,NF-Omeprazole-Sodium Bicarbonate 20-1100,,$229.00 ,PHARMACY
6201796,NF-OMNICEF CAP 300MG,,$19.00 ,PHARMACY
6200147,NF-Ondansetron (ZOFRAN) ODT    8MG,,$3.00 ,PHARMACY
6201742,NF-Ondansetron (ZOFRAN) TAB    4MG,,$3.00 ,PHARMACY
6201657,NF-Ondansetron (ZOFRAN)MDV 2MG/1mL 20mL,J2405,$6.00 ,PHARMACY
6205776,NF-Ondansetron Oral Tablet 4MG,,$58.00 ,PHARMACY
6203877,NF-Ondansetron Susp 1mg/ml,,$7.00 ,PHARMACY
6208789,NF-Onfi Oral Tablet 10MG,,$17.00 ,PHARMACY
6202943,NF-ONGLYZA 2.5MG ORAL TABLET,,$27.00 ,PHARMACY
6203658,NF-ONGLYZA ORAL TABLET 5MG,,$28.00 ,PHARMACY
6204521,NF-ONGLYZA ORAL TABLET 5MG,,$32.00 ,PHARMACY
6208634,NF-Onglyza Oral Tablet 5MG,,$23.00 ,PHARMACY
6208681,NF-Opium Oral Tincture 10MG/1ML,,$12.00 ,PHARMACY
6208769,NF-Opium Oral Tincture 10MG/1ML,,$12.00 ,PHARMACY
6208276,NF-Orphenadrine Oral Tab ER 100MG,,$6.00 ,PHARMACY
6206604,NF-Ortho Micronor Oral Tablet 0.35MG,,$5.00 ,PHARMACY
6200730,NF-OSTEO BIFLEX,,$7.00 ,PHARMACY
6208850,NF-Otezla Oral Tablet 30MG,,$154.00 ,PHARMACY
6207791,NF-Oxaprozin Oral Tablet 600MG,,$9.00 ,PHARMACY
6206569,NF-Oxazepam Oral Capsule 10MG,,$5.00 ,PHARMACY
6203379,NF-OXCARBAZEPINE 300MG ORAL TABLET,,$11.00 ,PHARMACY
6205844,NF-OXcarbazepine Oral Tablet 300MG,,$9.00 ,PHARMACY
6208061,NF-OXcarbazepine Oral Tablet 300MG,,$9.00 ,PHARMACY
6208063,NF-Oxtellar XR Oral Tab ER 300MG,,$23.00 ,PHARMACY
6208404,NF-Oxybenzone Powder,,$5.00 ,PHARMACY
6204400,"NF-OXYBUTYNIN CHLORIDE 15MG ORAL TABLET,",,$12.00 ,PHARMACY
6203404,"NF-OXYBUTYNIN CHLORIDE 5MG ORAL TABLET,",,$13.00 ,PHARMACY
6204045,"NF-OXYBUTYNIN CHLORIDE 5MG ORAL TABLET,",,$12.00 ,PHARMACY
6205578,NF-Oxybutynin Chloride Oral Tab ER 15MG,,$11.00 ,PHARMACY
6207907,NF-Oxybutynin Chloride Oral Tab ER 5MG,,$8.00 ,PHARMACY
6208426,NF-Oxybutynin Chloride Oral Tab ER 5MG,,$7.00 ,PHARMACY
6205327,NF-Oxybutynin Chloride Oral Tablet 5MG,,$6.00 ,PHARMACY
6207873,NF-Oxybutynin Chloride Tab ER 10MG,,$8.00 ,PHARMACY
6206199,NF-Oxybutynin Chloride Tablet ER 15MG,,$8.00 ,PHARMACY
6206974,NF-Oxybutynin Oral Tab ER 10MG,,$18.00 ,PHARMACY
6203117,NF-OXYCODONE & ACETAMINOPHEN TAB 325MG-1,,$7.00 ,PHARMACY
6203447,NF-OXYCODONE 5MG ORAL CAPSULE,,$7.00 ,PHARMACY
6202996,NF-OXYCODONE 5MG ORAL TABLET,,$6.00 ,PHARMACY
6202690,NF-OXYCODONE AND ACETAMINOPHEN 7.5MG-500,,$7.00 ,PHARMACY
6204269,NF-OXYCODONE HCL 10MG ORAL TABLET,,$6.00 ,PHARMACY
6204336,NF-OXYCODONE HCL 10MG ORAL TABLET,,$6.00 ,PHARMACY
6203754,NF-OXYCODONE HCL CAP 5MG,,$6.00 ,PHARMACY
6203755,NF-OXYCODONE HCL CAP 5MG,,$6.00 ,PHARMACY
6204697,NF-OXYCODONE HCL CAP 5MG,,$6.00 ,PHARMACY
6205378,NF-oxyCODONE HCl Oral Tablet 10MG,,$6.00 ,PHARMACY
6205895,NF-OXYCODONE HCL ORAL TABLET 15MG,,$13.00 ,PHARMACY
6204770,NF-OXYCODONE HCL ORAL TABLET 20MG,,$7.00 ,PHARMACY
6204772,NF-OXYCODONE HCL ORAL TABLET 20MG,,$7.00 ,PHARMACY
6202687,NF-OXYCODONE HCL ORAL TABLET 30MG,,$9.00 ,PHARMACY
6205504,NF-oxyCODONE HCl Tablet 5MG,,$6.00 ,PHARMACY
6208946,NF-oxyCODONE HCl-acetaminophen 10MG-325M,,$2.00 ,PHARMACY
6204956,NF-oxyCODONE Hydrochloride Oral Tablet 1,,$6.00 ,PHARMACY
6207830,NF-oxyCODONE Hydrochloride Oral Tablet 1,,$2.00 ,PHARMACY
6201479,NF-OXYCODONE HYDROCHLORIDE ORAL TABLET 3,,$8.00 ,PHARMACY
6205655,NF-oxyCODONE Hydrochloride Tablet 30MG,,$11.00 ,PHARMACY
6212040,NF-Oxycodone/APAP 5/325MG SOLN 5ML,,$9.00 ,PHARMACY
6208188,NF-oxyCODONE/APAP Oral Tablet 7.5MG-325M,,$8.00 ,PHARMACY
6205485,NF-oxyCODONE-APAP Tablet 5MG-325MG,,$7.00 ,PHARMACY
6205833,NF-oxyCODONE-APAP Tablet 5MG-325MG,,$6.00 ,PHARMACY
6206489,NF-oxyCODONE-APAP Tablet 5MG-325MG,,$5.00 ,PHARMACY
6206927,NF-oxyCODONE-APAP Tablet 5MG-325MG,,$5.00 ,PHARMACY
6205597,NF-OXYCODONE-IR TABLET 10 MG,,$16.00 ,PHARMACY
6204384,"NF-OXYCONTIN 20MG ORAL TABLET, EXTENDED",,$16.00 ,PHARMACY
6204338,"NF-OXYCONTIN 30MG ORAL TABLET, EXTENDED",,$24.00 ,PHARMACY
6203711,NF-OXYCONTIN EXTENDED RELEASE TABLET 60M,,$35.00 ,PHARMACY
6203710,NF-OXYCONTIN EXT-RELEASE TABLET 10MG,,$9.00 ,PHARMACY
6201547,NF-OXYCONTIN EXT-RELEASE TABLET 20MG,,$16.00 ,PHARMACY
6205377,NF-OxyCONTIN Tablet 10MG,,$10.00 ,PHARMACY
6206707,NF-OxyCONTIN Tablet Extended Release 10M,,$7.00 ,PHARMACY
6204878,NF-OxyCONTIN Tablet Extended Release 20M,,$17.00 ,PHARMACY
6200145,NF-Oxymetazoline (AFRIN) SPRAY    15ML,,$26.00 ,PHARMACY
6208051,NF-Ozempic 0.25MG or 0.5MG Doses 2MG/1.5,,"$1,292.00 ",PHARMACY
6208275,NF-paliperidone Oral Tablet ER 6MG,,$63.00 ,PHARMACY
6204172,NF-PANCRELIPASE : 27000U-5000U-17000UNIT,,$7.00 ,PHARMACY
6204889,NF-Pancrelipase Cap DR 5000U-17000U-2700,,$8.00 ,PHARMACY
6203683,"NF-PANTOPRAZOLE SODIUM 40MG ORAL TABLET,",,$14.00 ,PHARMACY
6208307,NF-Pantoprazole Sodium Oral Tablet EC 20,,$22.00 ,PHARMACY
6202963,NF-PAROXETINE 10MG ORAL TABLET,,$10.00 ,PHARMACY
6203538,NF-PAROXETINE 40MG ORAL TABLET,,$14.00 ,PHARMACY
6202474,NF-PAROXETINE HCL ORAL TAB 10MG,,$11.00 ,PHARMACY
6208041,NF-PARoxetine HCl Tablet 10MG,,$7.00 ,PHARMACY
6203788,NF-PAROXETINE HYDROCHLORIDE 12.5MG ORAL,,$26.00 ,PHARMACY
6203875,NF-PAROXETINE HYDROCHLORIDE 12.5MG ORAL,,$16.00 ,PHARMACY
6205488,NF-PARoxetine Hydrochloride Tab ER 25MG,,$15.00 ,PHARMACY
6205904,NF-PARoxetine Hydrochloride Tab ER 25MG,,$15.00 ,PHARMACY
6204541,NF-PATADAY 0.2% OPHTHALMIC SOLUTION,,$191.00 ,PHARMACY
6208146,NF-Pataday Ophthalmic Solution 0.2%,,$182.00 ,PHARMACY
6208157,NF-Pataday Ophthalmic Solution 0.2%,,$182.00 ,PHARMACY
6204725,NF-Patanol Ophth Solution 0.1%,,$138.00 ,PHARMACY
6207998,NF-Patanol Ophth Solution 0.1%,,$147.00 ,PHARMACY
6208531,NF-Patanol Ophth Solution 0.1%,,$61.00 ,PHARMACY
6205754,NF-PAXIL CR TAB ER 25MG,,$10.00 ,PHARMACY
6204940,NF-Paxil CR Tablet 25MG,,$13.00 ,PHARMACY
6204968,NF-Paxil Oral Tablet 10MG,,$13.00 ,PHARMACY
6206082,NF-Paxil Oral Tablet 30MG,,$18.00 ,PHARMACY
6202473,NF-PAXIL TAB 10MG,,$11.00 ,PHARMACY
6207751,NF-P-CARE K40G MR KIT,,"$1,500.00 ",PHARMACY
6200855,NF-PCN Benz/Procaine SYR 900/300,J0558,$583.00 ,PHARMACY
6202118,NF-Penicillin G INJ   20MU,J2540,$165.00 ,PHARMACY
6202374,"NF-PENTASA 500MG ORAL CAPSULE, EXTENDED",,$12.00 ,PHARMACY
6207642,NF-Pentoxifyl XR Oral Tab ER 400MG,,$2.00 ,PHARMACY
6203695,"NF-PENTOXIFYLLINE 400MG ORAL TABLET, EXT",,$8.00 ,PHARMACY
6205777,NF-Pentoxifylline Tablet 400MG,,$5.00 ,PHARMACY
6202933,NF-PEPCID 20MG ORAL TABLET,,$10.00 ,PHARMACY
6204823,NF-Pepcid Oral Tablet 20MG,,$30.00 ,PHARMACY
6208274,NF-Pepcid Oral Tablet 40MG,,$45.00 ,PHARMACY
6203256,NF-PERCOCET 325MG-7.5MG ORAL TABLET,,$27.00 ,PHARMACY
6204162,NF-PERCOCET 5MG-325MG ORAL TABLET,,$6.00 ,PHARMACY
6204392,NF-PERCOCET 5MG-325MG ORAL TABLET,,$12.00 ,PHARMACY
6203623,NF-PERCOCET 650MG-10MG ORAL TABLET,,$19.00 ,PHARMACY
6202343,NF-PERCOCET ORAL TABLET 10MG-325MG,,$18.00 ,PHARMACY
6208954,NF-Percocet Oral Tablet 10MG-325MG,,$71.00 ,PHARMACY
6204877,NF-PERCOCET ORAL TABLET 7.5MG-325MG,,$15.00 ,PHARMACY
6206289,NF-Percocet Oral Tablet 7.5MG-325MG,,$39.00 ,PHARMACY
6202737,NF-PERCOCET TAB 325MG-10MG,,$19.00 ,PHARMACY
6208952,NF-Percocet Tablet 10MG-325MG,,$14.00 ,PHARMACY
6208953,NF-Percocet Tablet 10MG-325MG,,$14.00 ,PHARMACY
6205322,NF-Percocet Tablet 5MG-325MG,,$6.00 ,PHARMACY
6206168,NF-Percocet Tablet 5MG-325MG,,$37.00 ,PHARMACY
6200992,NF-PERFECT EYES,,$6.00 ,PHARMACY
6205224,NF-PERI-COLACE TABLET 50MG-8.6MG,,$5.00 ,PHARMACY
6201853,NF-PERMETHRIN CREAM 5%,,$7.00 ,PHARMACY
6205134,NF-Perphenazine Tablet 4MG,,$9.00 ,PHARMACY
6205314,NF-Perphenazine/Amitriptyline Tablet 2-2,,$8.00 ,PHARMACY
6205681,NF-Perphenazine/Amitriptyline Tablet 2-2,,$7.00 ,PHARMACY
6202098,NF-PERPHENAZINE/AMITRIPTYLINE TABLET 4-2,,$7.00 ,PHARMACY
6203270,NF-PHENERGAN 12.5MG ORAL TABLET,,$6.00 ,PHARMACY
6202967,NF-PHENERGAN 25MG ORAL TABLET,,$7.00 ,PHARMACY
6201773,NF-PHENOBARBITAL ORAL TABLET 60MG,,$6.00 ,PHARMACY
6208171,NF-Phenylephrine OPHTH SOL    2.5%,,$396.00 ,PHARMACY
6212038,NF-Pilocarpine 0.5% Ophth Soln,,$10.00 ,PHARMACY
6204887,NF-Pilocarpine Oral Tablet 5MG,,$8.00 ,PHARMACY
6207895,NF-Pimavanserin (NUPLAZID) TAB    34MG,,$532.00 ,PHARMACY
6206263,NF-Pioglitazone Oral Tablet 30MG,,$26.00 ,PHARMACY
6207651,NF-Pioglitazone Oral Tablet 45MG,,$25.00 ,PHARMACY
6207674,NF-Pioglitazone Oral Tablet 45MG,,$25.00 ,PHARMACY
6203993,NF-PLAQUENIL 200MG ORAL TABLET,,$15.00 ,PHARMACY
6205024,NF-Plaquenil Oral Tablet 200MG,,$20.00 ,PHARMACY
6205029,NF-Plaquenil Oral Tablet 200MG,,$20.00 ,PHARMACY
6205032,NF-Plaquenil Oral Tablet 200MG,,$20.00 ,PHARMACY
6206169,NF-Plaquenil Oral Tablet 200MG,,$27.00 ,PHARMACY
6203493,NF-PLAVIX 75MG ORAL TABLET,,$22.00 ,PHARMACY
6206767,NF-Plavix Tab 75MG,,$18.00 ,PHARMACY
6207653,NF-Plavix Tab 75MG,,$17.00 ,PHARMACY
6205082,NF-Plendil Oral Tab ER 10MG,,$11.00 ,PHARMACY
6202818,NF-PLETAL 100MG ORAL TABLET,,$11.00 ,PHARMACY
6206054,NF-PNV OB+DHA Oral Kit,,$127.00 ,PHARMACY
6204359,NF-PNV PRENATAL HEALTH 1MG-27MG ORAL TAB,,$6.00 ,PHARMACY
6206608,NF-PNV-Select Oral Tablet,,$8.00 ,PHARMACY
6203757,NF-POLY-IRON 150 150MG ORAL CAPSULE,,$6.00 ,PHARMACY
6208918,NF-Pomalyst Oral Capsule 1MG,,"$2,178.00 ",PHARMACY
6208841,NF-PONATINIB HYDROCHLORIDE TAB 15MG,,"$1,324.88 ",PHARMACY
6203962,NF-POTASSIUM CHLORIDE 10MEQ ORAL CAPSULE,,$7.00 ,PHARMACY
6204158,NF-POTASSIUM CHLORIDE 10MEQ ORAL CAPSULE,,$6.00 ,PHARMACY
6204369,NF-POTASSIUM CHLORIDE 10MEQ ORAL CAPSULE,,$7.00 ,PHARMACY
6204013,"NF-POTASSIUM CHLORIDE 10MEQ ORAL TABLET,",,$7.00 ,PHARMACY
6204170,"NF-POTASSIUM CHLORIDE 10MEQ ORAL TABLET,",,$8.00 ,PHARMACY
6203873,"NF-POTASSIUM CHLORIDE 20MEQ ORAL TABLET,",,$6.00 ,PHARMACY
6204186,"NF-POTASSIUM CHLORIDE 20MEQ ORAL TABLET,",,$6.00 ,PHARMACY
6204280,"NF-POTASSIUM CHLORIDE 20MEQ ORAL TABLET,",,$6.00 ,PHARMACY
6204381,"NF-POTASSIUM CHLORIDE 20MEQ ORAL TABLET,",,$6.00 ,PHARMACY
6205880,NF-POTASSIUM CHLORIDE CAP ER 10MEQ,,$6.00 ,PHARMACY
6201341,NF-POTASSIUM CHLORIDE CAPSULE 10MEQ,,$9.00 ,PHARMACY
6201598,NF-POTASSIUM CHLORIDE CAPSULE 10MEQ,,$6.00 ,PHARMACY
